Age,Gender,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Eleven,Twelve,Thirteen,Class
22,1,3,4,4,5,3,3,4,3,3,3,3,4,2,3.3846
19,2,5,4,4,4,4,5,5,4,4,2,4,4,4,4.0769
19,2,4,4,2,4,4,4,4,4,2,2,4,2,4,3.3846
24,2,4,4,4,4,4,4,4,4,4,3,4,4,4,3.9231
21,2,5,4,4,4,5,5,4,4,4,4,4,5,4,4.3077
25,1,4,5,3,4,4,3,3,3,3,3,2,2,3,3.2308
25,1,4,4,4,4,4,5,5,5,5,5,5,5,5,4.6154
21,1,4,4,4,4,3,4,4,3,4,3,3,3,3,3.5385
25,1,5,5,4,4,4,5,5,4,5,3,4,3,3,4.1538
22,1,4,5,3,5,3,4,4,3,3,2,3,4,4,3.6154
25,1,5,4,4,5,5,4,4,3,5,3,5,3,4,4.1538
22,2,4,3,4,4,3,5,4,4,2,2,4,4,4,3.6154
24,1,3,4,4,3,4,4,3,4,3,5,2,3,4,3.5385
24,1,4,3,4,4,2,1,2,2,3,3,2,3,3,2.7692
20,1,4,3,4,5,3,3,3,4,3,3,4,4,3,3.5385
20,1,4,4,4,4,4,4,4,4,4,3,3,3,4,3.7692
19,1,4,4,3,4,4,4,4,3,3,2,3,3,4,3.4615
20,2,4,4,4,4,5,4,4,4,4,3,4,4,4,4
19,1,4,4,5,5,4,4,5,4,5,4,3,4,5,4.3077
18,2,5,5,3,4,4,4,4,5,4,2,4,4,5,4.0769
19,2,5,4,4,4,4,3,4,3,3,2,3,3,3,3.4615
19,2,4,4,4,4,4,5,4,4,4,2,3,3,4,3.7692
19,1,5,4,4,5,5,4,5,5,4,2,5,3,4,4.2308
20,1,3,4,4,4,5,4,3,4,3,2,2,4,4,3.5385
19,2,4,4,4,4,4,4,4,4,4,3,3,4,4,3.8462
18,1,4,4,5,4,3,2,2,2,3,3,4,2,2,3.0769
20,2,4,4,4,5,5,4,5,5,4,3,4,4,5,4.3077
19,2,4,3,3,4,3,4,4,3,4,3,4,3,4,3.5385
19,2,4,4,4,4,4,4,4,4,2,2,4,4,4,3.6923
19,1,5,1,5,5,5,5,5,5,5,1,5,5,5,4.3846
21,1,4,4,4,3,5,4,4,3,4,2,4,3,4,3.6923
18,1,5,4,4,5,4,4,5,4,4,2,4,3,4,4
19,2,4,4,4,4,4,4,4,4,4,3,4,4,4,3.9231
19,2,5,5,4,5,5,3,4,4,3,1,3,2,4,3.6923
18,2,4,4,4,4,3,4,4,4,4,2,4,3,4,3.6923
19,1,2,5,4,4,3,4,4,5,4,2,3,4,5,3.7692
19,2,4,4,4,4,4,4,4,4,4,2,4,4,4,3.8462
18,1,5,3,4,4,2,5,4,4,4,2,3,5,4,3.7692
18,1,4,4,3,4,4,4,4,3,3,3,4,4,4,3.6923
20,1,4,3,4,4,4,5,4,4,3,3,4,3,4,3.7692
20,1,4,4,4,4,4,4,4,4,4,2,4,2,4,3.6923
20,1,4,3,3,5,4,4,4,4,3,2,1,1,4,3.2308
20,1,5,4,5,5,4,5,5,4,4,1,5,4,5,4.3077
19,2,4,3,4,4,4,4,4,4,4,2,4,4,4,3.7692
19,2,5,4,4,4,3,4,4,4,4,1,3,4,4,3.6923
20,1,4,4,3,4,3,4,4,3,4,2,3,3,3,3.3846
19,1,3,4,4,4,4,4,4,2,4,2,3,4,4,3.5385
18,2,4,3,4,4,4,4,4,4,4,2,4,5,5,3.9231
26,2,3,4,5,2,4,4,4,3,3,2,4,4,4,3.5385
